Genes,aTc,W
b3602_3,aTc_0,0.993112581
b3602_3,aTc_2,0.967980653
b3602_3,aTc_4,0.96210036
b3602_3,aTc_6,0.948871328
b3602_3,aTc_8,0.92495204
b3602_4,aTc_0,0.992319906
b3602_4,aTc_2,1.004076151
b3602_4,aTc_4,0.971177252
b3602_4,aTc_6,0.98339536
b3602_4,aTc_8,0.929100076
b3686_1,aTc_0,1.036138427
b3686_1,aTc_2,1.04283661
b3686_1,aTc_4,1.016422378
b3686_1,aTc_6,1.014702189
b3686_1,aTc_8,1.010219197
b3686_2,aTc_0,0.982976934
b3686_2,aTc_2,0.967257051
b3686_2,aTc_4,0.974918484
b3686_2,aTc_6,0.987062758
b3686_2,aTc_8,0.989246493
b3686_3,aTc_0,0.987178007
b3686_3,aTc_2,0.990270974
b3686_3,aTc_4,1.013136796
b3686_3,aTc_6,0.967246612
b3686_3,aTc_8,0.992058589
b3686_4,aTc_0,0.922403244
b3686_4,aTc_2,0.96908963
b3686_4,aTc_4,0.935092721
b3686_4,aTc_6,0.935859108
b3686_4,aTc_8,0.975524543
b3725_1,aTc_0,1.016592162
b3725_1,aTc_2,0.977405742
b3725_1,aTc_4,0.915465746
b3725_1,aTc_6,0.848351453
b3725_1,aTc_8,0.79632971
b3725_2,aTc_0,1.020908545
b3725_2,aTc_2,0.997546326
b3725_2,aTc_4,0.937750953
b3725_2,aTc_6,0.882374791
b3725_2,aTc_8,0.80997859
b3725_3,aTc_0,1.004212877
b3725_3,aTc_2,0.940036673
b3725_3,aTc_4,0.882794108
b3725_3,aTc_6,0.831850498
b3725_3,aTc_8,0.783025311
b3725_4,aTc_0,0.993212883
b3725_4,aTc_2,0.908155079
b3725_4,aTc_4,0.869615815
b3725_4,aTc_6,0.825618902
b3725_4,aTc_8,0.801171732
b4000_1,aTc_0,0.995513939
b4000_1,aTc_2,0.984389453
b4000_1,aTc_4,0.969299269
b4000_1,aTc_6,0.941121316
b4000_1,aTc_8,0.958793851
b4000_2,aTc_0,1.033518762
b4000_2,aTc_2,0.977559631
b4000_2,aTc_4,0.981234179
b4000_2,aTc_6,0.996705923
b4000_2,aTc_8,0.991845739
b4000_3,aTc_0,0.977200008
b4000_3,aTc_2,0.95834911
b4000_3,aTc_4,0.932766714
